amount,ip_distance,device_type_id,time_of_day,tx_frequency,merchant_risk,account_age,location_deviation
11.5,0.04,1,7.94,4,0.23,784.32,2.4
18.47,2.3,1,15.18,1,0.15,565.75,0.26
57.96,11.16,2,13.45,4,0.04,3650.0,2.78
87.0,4.29,1,16.88,0,0.34,2216.6,3.87
56.86,5.48,3,14.53,3,0.24,272.67,0.84
45.85,24.61,1,10.53,2,0.16,913.6,3.02
39.89,6.42,1,10.26,2,0.19,171.99,12.77
16.5,7.98,2,11.72,2,0.08,910.34,1.77
29.14,5.57,2,14.53,2,0.15,134.54,4.02
35.39,30.53,1,10.57,1,0.31,987.0,4.38
110.48,8.41,2,14.22,1,0.14,3597.03,22.51
64.7,1.6,1,15.4,0,0.08,871.56,6.15
13.33,15.24,1,12.94,2,0.05,134.28,25.92
63.76,10.33,2,12.22,1,0.05,1608.47,5.23
37.46,8.14,3,9.7,1,0.26,403.72,10.81
30.09,1.33,2,17.02,2,0.26,98.68,3.35
79.11,12.82,1,17.65,0,0.32,1066.32,7.76
108.34,5.46,2,16.44,3,0.08,1775.31,2.65
100.53,3.36,1,13.45,3,0.04,659.25,5.5
26.65,19.63,1,13.89,0,0.07,2682.84,2.97
39.65,244.22,2,15.37,2,0.16,1146.91,2.25
64.1,98.01,1,14.29,1,0.36,981.26,2.29
103.93,45.13,3,7.77,0,0.09,436.45,0.27
34.91,3.1,1,15.84,1,0.49,374.05,9.66
43.5,127.81,1,16.44,1,0.04,332.58,7.6
21.81,6.92,2,16.14,1,0.19,3173.78,1.41
20.39,0.18,2,14.9,1,0.06,1051.13,1.06
91.97,1.81,1,15.92,1,0.04,901.8,41.07
138.27,9.41,1,11.17,2,0.07,386.16,2.46
47.37,21.23,2,13.81,1,0.12,436.61,1.63
106.13,4.16,1,12.66,1,0.17,327.22,0.15
65.58,3.69,1,16.9,5,0.18,170.41,1.96
30.82,12.34,2,14.37,1,0.12,2525.28,2.45
65.57,27.04,1,13.68,0,0.04,873.18,7.68
158.47,3.42,3,11.96,3,0.06,1321.35,4.43
48.67,10.25,2,11.88,1,0.04,644.69,3.78
161.66,12.37,3,11.74,1,0.15,58.64,1.92
7.01,3.62,1,15.49,0,0.25,634.73,4.48
92.61,8.98,3,15.2,1,0.15,43.23,8.91
53.37,5.49,1,14.5,1,0.2,2923.37,3.92
39.96,6.05,1,15.58,4,0.13,419.85,0.97
53.56,173.73,1,12.39,0,0.14,167.22,10.52
11.26,0.25,1,10.31,0,0.13,257.48,0.58
42.41,12.21,1,15.37,2,0.43,2421.67,7.31
65.36,9.58,1,13.89,3,0.25,232.21,1.4
151.48,0.92,1,15.67,3,0.1,142.74,0.31
33.9,13.53,1,14.85,1,0.05,960.54,11.79
27.27,6.44,2,13.85,2,0.06,98.92,5.84
34.32,7.6,1,14.41,0,0.05,638.72,8.56
99.34,456.24,2,16.82,0,0.2,1134.61,16.76
63.98,3.0,1,13.42,3,0.32,151.16,4.35
33.61,1.96,3,15.47,0,0.2,1509.74,23.64
73.48,3.8,1,14.62,1,0.24,559.95,4.66
53.78,5.65,3,10.65,0,0.37,1243.64,0.55
103.39,292.15,1,11.37,3,0.35,292.31,0.53
29.53,96.47,3,13.92,0,0.09,574.23,0.87
39.11,24.31,1,13.0,1,0.08,647.04,2.54
37.26,12.27,2,12.1,2,0.02,350.58,4.79
16.68,2.89,2,16.14,2,0.1,1566.11,0.87
62.43,24.63,1,11.01,2,0.23,195.56,5.09
60.81,2.36,1,13.6,0,0.31,1088.2,2.4
50.19,13.63,2,12.25,2,0.11,2694.05,2.08
41.93,46.84,1,16.97,0,0.22,1818.48,5.98
17.3,17.58,1,19.04,2,0.29,1444.36,5.36
36.47,3.4,2,13.38,3,0.19,154.08,8.38
38.67,17.52,1,15.7,0,0.21,1422.42,18.78
27.39,12.71,2,16.54,0,0.07,469.37,0.33
44.3,2.74,1,15.8,3,0.11,109.1,2.01
67.7,8.19,1,15.58,1,0.09,1196.71,96.02
205.75,1.85,1,10.45,1,0.08,68.26,7.53
56.99,3.14,2,16.35,1,0.03,480.18,6.88
60.65,408.34,3,14.72,0,0.1,1964.65,1.64
47.28,21.2,1,13.54,1,0.38,1160.15,0.34
11.86,15.14,1,13.84,3,0.35,728.29,6.65
49.02,67.64,1,14.52,0,0.25,2141.18,13.23
52.31,3.58,2,13.49,1,0.46,1384.1,4.4
317.18,275.3,1,13.29,1,0.07,634.45,0.25
43.28,326.53,1,12.04,1,0.18,1374.77,1.7
62.69,9.76,1,15.02,2,0.17,2147.3,2.36
48.72,17.0,1,13.68,1,0.09,155.17,6.09
20.81,6.56,1,12.41,2,0.09,223.44,4.1
117.82,3.93,1,14.2,0,0.17,1294.37,1.08
87.88,12.94,2,14.09,0,0.08,186.65,3.12
90.5,9.46,3,15.01,0,0.15,182.14,0.12
25.28,50.02,2,13.94,2,0.42,1067.84,2.1
143.18,1.58,1,15.23,1,0.42,766.76,3.05
17.47,5.31,1,13.45,1,0.35,1413.88,6.42
77.65,0.04,1,13.6,0,0.01,383.98,6.53
258.49,17.97,2,14.56,2,0.11,937.66,9.85
23.79,7.55,1,14.77,2,0.07,2270.04,8.59
32.7,6.95,3,16.42,2,0.36,2337.82,5.41
53.88,8.6,1,16.1,2,0.23,1058.8,0.36
34.28,2.98,2,13.91,2,0.19,23.61,15.95
15.63,8.19,2,11.18,1,0.21,751.72,8.88
52.64,23.65,1,15.37,3,0.17,70.53,3.21
22.54,0.52,2,15.06,3,0.33,3650.0,5.95
71.32,18.11,3,14.43,1,0.04,3650.0,16.69
25.09,1.9,3,15.55,4,0.37,123.29,7.13
159.89,9.09,2,13.26,0,0.08,609.11,3.42
27.79,4.64,1,10.81,2,0.16,1974.5,3.24
39.27,15.69,2,12.25,0,0.22,123.38,5.39
92.03,30.62,2,8.21,1,0.21,803.57,13.58
19.86,17.97,1,14.89,2,0.03,222.74,7.07
59.3,122.69,1,13.87,2,0.14,664.9,5.17
133.27,0.71,1,15.72,2,0.03,226.03,0.72
14.98,19.34,1,15.51,2,0.06,755.65,6.72
57.43,3.55,2,13.02,0,0.1,530.3,17.77
60.76,0.78,1,12.35,0,0.18,500.65,8.19
89.87,7.81,1,12.42,1,0.28,174.78,0.37
19.77,9.05,1,17.83,2,0.11,1078.22,2.19
18.57,2.27,1,13.7,1,0.03,72.84,1.16
73.96,5.12,1,13.45,0,0.29,2716.02,2.22
62.47,5.46,1,14.58,2,0.18,60.84,0.73
60.33,6.12,1,10.83,0,0.23,530.21,0.23
64.84,2.46,2,13.21,2,0.13,337.96,6.03
30.02,464.28,1,12.29,3,0.34,802.29,3.91
59.51,0.99,1,11.87,1,0.05,25.22,6.83
62.29,21.95,1,13.48,1,0.32,578.04,7.95
29.26,11.59,1,14.09,1,0.28,1401.23,0.5
202.62,8.9,1,11.49,2,0.11,1646.12,0.01
71.34,4.79,1,13.27,2,0.12,2722.11,95.38
20.46,22.3,1,14.16,5,0.37,114.71,6.01
81.81,11.23,1,14.9,2,0.19,807.56,3.31
24.07,30.17,1,13.45,1,0.24,513.13,9.74
90.23,42.26,2,14.66,1,0.2,1042.36,1.23
119.22,19.43,1,13.3,1,0.42,1783.21,7.39
27.02,123.27,2,16.56,2,0.5,915.03,0.14
102.98,0.2,2,15.09,4,0.44,260.09,32.33
68.14,3.12,2,12.66,2,0.37,387.58,2.43
92.63,322.43,1,13.01,0,0.13,2230.86,0.08
207.39,7.71,2,14.78,2,0.12,1113.31,6.13
41.6,5.34,1,12.95,1,0.07,906.43,10.4
28.41,11.2,1,10.14,1,0.07,149.86,3.85
25.66,3.75,1,14.59,0,0.05,417.55,4.49
27.12,1.85,3,13.23,2,0.11,390.18,9.58
47.19,13.18,1,15.36,1,0.21,26.24,4.31
64.58,2.74,3,14.08,0,0.12,2650.68,2.68
61.53,4.02,1,15.29,3,0.1,402.91,69.43
92.98,9.62,3,19.04,1,0.05,108.35,4.76
50.49,39.42,3,16.56,0,0.07,681.16,9.75
148.74,1.11,3,13.3,2,0.55,595.48,84.1
41.0,3.66,1,14.85,2,0.19,1897.44,5.43
384.58,13.33,2,14.24,2,0.27,1608.54,12.44
79.94,6.8,3,14.54,4,0.15,1521.58,9.55
26.29,9.86,1,10.86,2,0.39,2692.4,1.48
22.4,26.82,1,16.11,4,0.43,469.28,1.73
71.8,0.7,2,9.39,4,0.1,890.33,5.81
42.28,2.45,1,13.97,0,0.13,1107.29,5.86
85.42,17.78,2,10.49,3,0.46,638.99,2.02
71.3,9.08,1,12.59,1,0.08,279.53,7.21
47.34,1.97,1,14.42,2,0.36,2292.79,0.28
26.49,12.58,1,15.74,3,0.19,2309.87,72.87
16.05,16.48,1,16.04,2,0.17,1459.82,2.87
35.77,93.97,1,13.61,2,0.19,424.83,6.64
95.04,10.95,2,15.98,1,0.18,10.0,11.64
58.71,4.17,1,13.87,1,0.13,675.7,8.89
19.64,31.88,2,12.58,1,0.05,743.58,1.08
56.93,0.31,2,14.75,0,0.32,669.34,4.01
66.75,9.63,1,12.17,2,0.26,101.47,1.7
25.77,5.52,1,13.73,1,0.51,1550.65,7.3
56.11,0.8,1,13.04,4,0.07,759.58,1.1
52.23,11.06,1,10.9,1,0.1,250.77,59.41
21.22,6.93,1,14.66,1,0.32,3135.0,10.38
65.39,13.42,1,14.29,1,0.21,359.65,0.47
76.14,256.97,3,16.3,0,0.34,481.14,9.89
112.65,8.03,1,10.26,1,0.04,513.17,4.05
110.21,20.3,1,12.57,1,0.27,513.2,4.29
17.79,4.85,3,16.26,3,0.13,1029.24,0.03
24.75,2.45,2,15.06,1,0.09,333.91,5.22
73.57,22.49,2,15.45,1,0.42,2337.08,3.35
73.51,7.38,2,16.9,2,0.24,850.52,1.88
73.58,2.27,1,12.47,1,0.2,2119.46,61.02
899.26,1.3,2,12.27,1,0.27,2493.54,13.03
76.72,2.92,3,15.71,0,0.05,1464.07,6.24
117.18,0.89,1,15.27,0,0.15,279.26,5.57
102.26,464.28,1,13.75,1,0.07,400.09,7.08
81.5,363.3,1,13.69,1,0.07,260.33,19.67
39.47,1.21,1,12.06,1,0.18,610.41,5.25
88.35,0.91,1,17.16,3,0.19,715.39,3.4
28.01,25.49,2,18.05,0,0.16,413.37,0.38
41.86,304.45,1,16.23,3,0.72,2059.01,3.16
34.74,382.96,1,15.31,0,0.26,503.44,2.57
53.17,15.08,1,15.18,1,0.37,1218.28,49.6
283.73,203.33,2,14.66,1,0.07,1794.98,2.22
12.32,2.28,1,10.47,2,0.05,175.52,5.76
83.66,4.89,1,13.05,3,0.28,1254.97,3.47
14.92,40.45,2,15.64,0,0.09,173.94,0.66
35.1,0.54,1,12.31,0,0.22,1443.22,2.52
113.15,1.11,1,14.31,1,0.37,837.85,0.23
52.47,9.03,1,16.31,2,0.12,722.01,0.14
22.28,5.6,2,16.35,3,0.17,755.33,0.34
29.24,14.7,2,15.87,2,0.14,513.35,9.32
83.24,0.23,1,14.57,0,0.28,50.91,5.45
28.91,359.53,1,15.6,1,0.07,804.48,0.81
58.81,9.67,2,13.52,2,0.1,22.72,3.91
51.74,2.15,2,17.41,2,0.03,2438.01,2.52
30.67,0.37,2,10.82,3,0.25,286.43,19.5
249.63,270.17,2,14.14,0,0.23,1046.72,1.93
80.44,3.41,1,13.06,0,0.32,821.63,3.8
10.95,6.36,2,15.36,2,0.12,959.05,11.76
57.5,4.78,2,13.32,2,0.43,392.01,3.41
30.44,7.89,2,18.84,1,0.29,596.85,7.54
94.76,2.32,3,15.83,2,0.26,1382.35,3.15
27.59,10.76,1,12.0,2,0.11,496.24,0.33
45.88,22.89,3,8.67,3,0.1,335.23,2.23
73.02,2.34,2,11.72,0,0.31,31.58,3.71
95.71,2.14,2,15.12,0,0.26,646.2,2.05
20.32,1.94,1,13.47,2,0.1,1186.06,12.0
38.91,4.55,2,12.85,2,0.4,340.77,2.6
35.02,0.17,2,12.55,2,0.12,2007.66,7.21
30.63,3.38,1,15.66,0,0.19,123.12,11.1
187.94,0.8,2,13.34,0,0.06,467.33,5.34
67.75,61.7,2,13.13,3,0.32,1345.52,10.03
19.42,7.37,1,15.99,1,0.08,3490.26,3.67
99.53,13.73,1,17.12,0,0.22,474.56,1.32
245.58,4.01,1,11.77,2,0.35,1352.17,8.68
108.46,0.32,1,16.36,1,0.11,1177.8,5.59
16.0,277.63,1,13.78,1,0.27,2762.0,8.45
34.77,0.81,1,15.84,1,0.21,695.37,12.79
129.31,1.4,1,15.31,3,0.09,891.59,1.03
29.41,334.06,1,14.04,2,0.3,176.95,0.59
69.75,0.85,1,14.12,2,0.25,310.06,6.95
89.39,6.37,2,15.34,0,0.03,1002.23,1.93
24.95,3.04,1,11.81,1,0.12,821.14,3.02
47.82,8.99,2,11.71,0,0.06,589.95,0.94
4.4,52.15,1,18.16,1,0.04,1205.74,7.12
23.19,5.31,1,16.34,1,0.33,280.96,2.68
41.37,1.65,1,15.98,2,0.08,1201.39,88.27
19.61,0.44,2,13.69,1,0.13,208.11,6.33
170.09,218.63,2,10.72,1,0.06,682.65,5.52
17.11,378.24,2,12.94,3,0.26,120.46,2.19
35.94,13.24,1,14.82,0,0.07,728.18,1.89
55.15,7.36,2,16.3,0,0.25,1722.28,3.24
147.37,11.18,1,14.86,2,0.31,661.05,4.52
17.03,12.48,2,14.91,1,0.06,397.4,6.28
119.63,183.19,1,13.66,3,0.22,148.44,0.83
50.39,0.1,1,15.3,0,0.07,444.46,5.35
23.95,2.05,1,12.18,1,0.3,1943.77,6.03
70.71,3.02,2,14.25,1,0.24,496.12,0.34
58.05,6.27,1,13.54,0,0.29,204.44,6.34
31.88,13.35,1,16.89,2,0.2,2193.49,6.04
52.69,8.56,1,8.29,1,0.14,2631.46,7.83
37.45,1.19,3,13.7,2,0.16,3078.61,2.33
54.44,284.86,1,14.5,3,0.09,731.37,3.55
82.16,17.64,2,10.29,1,0.24,826.02,3.65
164.27,8.36,3,15.48,2,0.29,361.73,16.22
19.76,6.03,3,13.74,2,0.2,410.78,10.07
247.6,0.52,2,12.09,0,0.14,724.12,24.91
11.56,0.04,2,16.04,2,0.18,176.45,7.65
44.62,5.69,1,12.51,3,0.17,3278.16,1.83
77.73,26.54,1,15.62,2,0.09,1155.33,4.49
61.73,4.55,2,14.37,5,0.2,47.8,0.43
31.34,3.59,1,13.18,1,0.06,298.74,0.98
42.77,6.56,1,11.98,0,0.2,356.88,1.4
34.55,8.63,2,12.57,0,0.1,10.34,2.86
32.14,1.04,1,15.76,2,0.15,3650.0,3.96
94.56,31.73,2,16.31,2,0.61,328.1,11.41
65.35,5.45,2,15.39,3,0.17,53.01,49.52
29.74,7.31,1,13.94,1,0.18,2088.8,28.63
98.17,3.0,1,15.39,0,0.07,117.09,2.18
62.96,2.28,1,14.63,2,0.38,608.42,3.09
91.99,52.5,3,12.8,1,0.07,453.56,11.9
80.18,105.23,1,12.17,4,0.32,81.2,0.87
26.85,3.72,1,13.37,1,0.28,33.12,4.96
32.85,7.01,2,12.73,1,0.48,313.12,1.31
87.57,406.04,1,14.26,2,0.3,445.86,0.77
79.03,0.63,1,17.21,1,0.27,1372.72,1.19
49.22,0.11,1,14.56,4,0.14,1288.37,0.87
54.6,5.4,1,16.94,0,0.06,624.22,1.14
130.36,4.75,1,14.0,1,0.05,235.98,0.49
32.08,329.15,2,13.66,2,0.19,1846.15,0.76
75.37,0.72,1,10.97,4,0.15,1047.68,0.08
42.96,3.5,1,15.28,2,0.02,428.97,4.29
42.47,11.03,1,12.69,1,0.24,2047.08,9.4
113.99,7.67,1,12.28,1,0.06,1704.26,7.95
92.86,5.24,3,11.97,5,0.26,10.0,6.36
92.03,1.52,1,14.71,0,0.1,2031.95,3.22
133.1,2.48,3,12.84,2,0.05,753.77,6.52
50.79,22.04,1,17.29,1,0.08,2582.5,7.7
83.39,19.81,2,16.24,1,0.19,1472.79,1.66
39.62,1.56,1,12.93,2,0.25,158.18,0.79
63.76,14.49,1,9.25,5,0.04,417.27,4.21
45.35,2.05,1,14.24,0,0.02,373.53,2.95
53.77,9.13,2,13.38,3,0.43,1213.77,14.01
78.13,6.31,1,15.78,1,0.05,773.32,9.88
27.07,56.61,1,14.03,0,0.19,315.39,3.96
240.16,3.71,2,16.3,1,0.13,1433.71,2.88
23.51,0.1,1,14.99,2,0.3,1061.08,0.5
20.11,4.06,1,11.45,2,0.09,1575.81,0.11
119.18,13.36,2,12.51,2,0.22,1374.5,0.36
90.54,15.94,1,13.09,2,0.06,950.84,2.63
79.85,29.27,2,13.66,0,0.09,181.57,84.81
80.1,12.9,1,13.46,2,0.11,216.42,6.37
49.54,8.67,1,15.44,0,0.2,1547.98,6.31
25.51,0.57,1,15.01,0,0.09,1938.8,0.87
52.93,23.33,3,13.16,1,0.14,697.59,0.19
30.09,4.99,2,15.33,0,0.15,3650.0,0.09
103.89,379.2,3,11.66,4,0.31,349.86,13.26
44.78,0.39,1,15.4,2,0.12,1315.61,5.12
26.92,1.9,2,15.74,1,0.15,1107.79,44.77
39.29,26.05,1,14.55,0,0.06,1372.3,4.32
68.15,4.4,1,15.05,0,0.07,537.7,9.05
32.76,457.15,2,15.31,3,0.09,280.13,1.53
26.99,3.53,1,16.1,0,0.06,518.96,0.13
60.03,475.42,1,15.48,2,0.31,210.34,7.88
60.08,4.92,1,16.42,0,0.26,118.58,69.78
34.19,7.03,2,10.85,2,0.33,1152.82,10.1
35.12,51.56,1,14.26,1,0.35,3650.0,9.25
59.51,3.42,1,13.91,0,0.18,1099.34,6.72
16.88,12.26,3,14.3,3,0.31,144.37,9.19
17.4,17.2,1,15.8,1,0.61,736.97,6.95
29.17,1.85,1,14.26,0,0.22,926.67,9.78
42.6,5.57,2,14.18,4,0.11,1330.47,8.14
63.13,13.64,2,14.93,2,0.39,1493.47,4.32
151.19,5.34,1,10.99,1,0.21,220.24,0.11
95.13,1.89,2,17.11,1,0.22,396.52,4.2
44.35,2.12,1,13.79,0,0.16,783.87,7.07
49.29,4.26,1,16.95,0,0.16,10.0,2.09
23.57,49.63,1,12.29,1,0.02,221.11,0.14
49.31,5.43,1,12.18,0,0.13,3147.26,0.04
40.27,0.87,1,13.54,0,0.28,442.03,94.66
63.69,8.67,3,14.07,0,0.14,1368.82,0.05
26.89,3.89,2,12.98,2,0.08,639.23,0.33
73.81,8.53,3,12.39,0,0.08,3650.0,10.79
157.84,4.23,2,14.74,4,0.28,2317.38,4.67
46.08,5.65,1,16.9,2,0.14,337.75,1.47
67.58,12.44,1,17.32,2,0.13,1622.73,0.45
83.9,17.94,3,13.41,0,0.49,803.54,3.93
37.01,6.36,2,11.84,1,0.2,364.65,2.24
59.15,6.59,3,13.47,0,0.19,724.24,9.32
50.47,17.56,1,17.42,1,0.16,405.57,26.55
53.8,14.73,1,16.06,3,0.17,199.39,4.01
28.0,27.07,1,14.77,0,0.06,630.4,15.21
50.93,2.54,1,13.07,2,0.2,553.21,8.42
72.64,2.82,1,15.82,2,0.21,378.01,0.23
148.47,6.33,1,18.53,1,0.12,964.73,2.7
102.67,25.11,2,13.71,2,0.43,137.34,13.0
251.37,2.13,1,10.06,3,0.45,3622.75,0.28
28.12,2.14,1,11.95,4,0.08,238.37,3.61
96.18,5.8,2,14.13,1,0.44,948.46,2.88
57.37,3.35,1,13.69,1,0.21,513.82,7.65
258.37,9.77,1,16.72,2,0.33,10.0,8.68
27.27,3.98,1,12.82,2,0.12,238.95,20.83
26.64,0.98,2,13.65,0,0.03,801.12,14.87
31.9,8.07,1,12.71,0,0.14,429.42,5.03
10.17,57.22,3,15.56,1,0.29,1810.04,0.45
33.71,5.12,1,12.28,0,0.11,1117.69,1.68
28.29,2.24,1,13.53,2,0.41,170.36,1.14
55.97,1.17,1,10.95,3,0.21,2736.86,45.82
64.61,5.96,1,12.94,1,0.24,276.28,8.54
204.21,11.54,1,17.33,1,0.33,62.65,3.93
101.99,2.03,2,17.55,0,0.26,665.7,2.09
32.44,6.15,1,15.35,2,0.14,575.94,10.53
25.49,0.19,2,14.88,1,0.32,675.41,3.88
72.31,3.09,2,12.74,1,0.11,75.01,7.66
18.58,25.02,2,14.4,1,0.05,352.11,6.29
197.48,6.88,1,14.33,1,0.28,2548.58,9.21
121.1,3.66,3,14.03,0,0.08,1588.41,3.48
35.17,3.62,1,15.61,4,0.33,159.87,1.41
13.83,71.75,1,12.11,1,0.13,339.9,4.92
138.02,4.7,2,19.12,3,0.24,1374.75,0.7
45.88,8.99,1,17.25,0,0.14,1951.51,6.43
126.52,3.9,2,12.38,1,0.15,151.17,9.44
15.12,2.0,1,14.22,0,0.13,907.85,3.33
31.9,6.48,1,12.8,1,0.17,578.08,1.25
50.2,8.83,1,15.27,2,0.07,665.12,0.71
51.79,2.23,1,13.82,0,0.05,1574.73,14.3
35.68,330.98,1,10.24,1,0.04,899.44,2.48
79.77,2.15,1,12.16,0,0.3,814.48,2.73
22.45,392.68,2,16.65,1,0.13,478.32,81.39
44.94,14.78,2,13.56,2,0.21,389.95,1.04
54.72,4.6,2,13.54,1,0.48,1307.15,5.72
73.54,4.3,2,15.34,2,0.31,2464.37,4.37
85.26,3.75,1,15.88,3,0.3,25.83,1.32
21.51,0.04,2,13.82,0,0.22,646.51,1.05
15.82,452.9,1,9.67,0,0.16,836.91,5.05
130.36,396.01,1,12.39,1,0.3,333.64,1.19
64.15,12.46,2,9.71,3,0.18,92.27,1.58
28.52,5.73,1,11.2,1,0.16,184.41,22.21
160.03,8.3,2,14.15,1,0.21,1228.06,2.97
54.53,0.76,1,14.09,1,0.4,246.67,8.11
121.09,11.84,1,16.55,2,0.05,506.78,6.62
52.6,5.03,1,13.93,1,0.45,15.94,1.93
234.53,17.38,1,12.24,0,0.1,186.55,3.01
186.52,2.73,2,16.41,5,0.29,1694.74,0.3
41.48,14.41,3,17.5,1,0.17,747.58,4.82
103.62,304.87,1,15.83,0,0.09,102.97,3.29
81.13,7.75,1,13.87,2,0.25,86.5,14.27
139.56,5.12,1,13.38,1,0.06,2536.08,5.31
24.25,13.27,2,11.62,1,0.06,464.58,2.74
83.64,5.02,1,12.42,0,0.08,1455.45,3.47
110.59,5.82,3,13.1,2,0.39,573.91,53.41
13.37,5.19,2,11.35,2,0.01,132.28,9.82
20.59,7.11,2,13.33,4,0.24,745.01,1.98
10.83,282.78,1,13.44,0,0.21,104.63,2.42
40.85,3.65,2,16.55,3,0.07,1988.49,5.91
85.64,5.54,2,10.76,3,0.16,50.51,6.69
154.28,15.71,2,14.34,0,0.13,1204.13,8.39
52.86,418.35,2,11.28,3,0.23,3650.0,3.31
169.61,8.21,1,10.09,1,0.23,2169.54,11.85
17.76,8.43,2,13.01,4,0.12,2368.26,0.44
13.94,2.7,3,14.04,3,0.16,295.14,0.62
47.96,14.35,3,16.54,2,0.07,630.34,33.94
66.69,0.07,2,13.46,1,0.25,263.27,2.24
48.79,18.61,1,12.92,1,0.07,1166.35,0.77
10.61,46.44,1,12.6,3,0.23,1065.66,1.5
46.77,2.54,2,12.96,0,0.57,351.54,0.89
18.8,26.77,1,6.96,1,0.13,527.01,10.56
82.62,3.51,1,12.36,3,0.15,478.69,19.52
65.82,5.95,1,15.6,4,0.11,1195.86,16.89
24.71,2.58,2,9.09,0,0.35,18.94,2.15
34.01,1.99,1,13.17,2,0.24,2594.14,1.78
22.59,15.42,1,13.42,1,0.33,152.17,13.33
47.7,14.87,1,15.43,2,0.23,378.52,15.81
102.35,7.66,2,14.23,2,0.2,48.13,12.48
23.87,21.92,3,14.84,2,0.15,578.33,6.32
72.97,11.44,1,12.51,1,0.28,1337.39,3.26
33.59,7.79,1,10.48,0,0.07,1534.28,8.02
27.59,12.2,2,12.94,1,0.17,449.1,7.01
46.14,4.0,2,13.71,1,0.01,481.19,3.53
23.0,13.62,2,16.32,2,0.07,415.03,2.55
33.01,7.63,2,11.14,2,0.34,248.15,4.11
20.36,0.19,2,18.18,1,0.42,1253.66,2.16
218.23,9.82,1,14.35,0,0.07,2240.33,2.24
51.34,15.75,1,12.48,1,0.15,521.92,1.86
29.58,13.6,2,12.37,1,0.09,1274.4,0.45
58.7,5.45,2,13.68,1,0.31,671.45,1.17
45.96,0.28,1,13.86,1,0.08,137.27,4.64
42.36,0.55,3,14.03,3,0.08,717.03,2.19
79.25,28.54,2,15.28,3,0.46,310.76,10.05
88.25,2.64,2,12.68,3,0.29,1106.3,27.31
33.59,0.38,1,14.21,4,0.04,596.38,14.44
32.46,2.38,1,13.33,1,0.05,1130.66,2.22
40.68,22.36,2,17.29,0,0.22,656.35,3.03
8.9,3.9,1,10.38,2,0.14,1432.22,5.44
16.05,282.54,1,18.29,2,0.15,3650.0,11.62
139.38,0.22,3,12.23,1,0.16,1967.97,0.6
171.7,0.05,2,11.83,0,0.03,1228.28,2.61
41.48,5.57,1,13.41,0,0.17,281.51,1.2
77.05,11.45,2,14.43,2,0.52,843.27,1.97
63.15,6.8,1,13.27,2,0.03,1003.51,6.8
503.3,9.05,1,15.19,2,0.17,1318.45,5.26
115.78,364.63,2,13.1,2,0.44,215.24,5.86
45.43,2.67,2,12.71,1,0.19,727.55,3.28
24.42,1.23,1,12.15,0,0.21,620.74,8.7
14.99,4.47,1,16.52,1,0.39,304.77,8.45
58.24,13.81,1,14.77,4,0.27,774.3,6.86
28.35,1.05,3,11.69,2,0.1,2397.51,0.29
17.21,1.19,2,13.1,1,0.25,1465.59,84.67
30.79,2.71,1,11.35,4,0.25,816.18,2.76
22.22,8.52,1,19.45,0,0.14,1308.25,5.12
177.22,8.15,1,14.37,1,0.13,1555.35,3.34
96.86,8.02,2,10.02,3,0.05,1283.58,1.81
